jobId,品牌,岗位,缺失筛选维度,自由文本证据
528781,"小吊梨汤","小吊梨汤-龙华会店-周末兼职服务员-小时工",学历,"初中"
528781,"小吊梨汤","小吊梨汤-龙华会店-周末兼职服务员-小时工",是否学生,"社会人士"
529042,"瑞族V-ZUG ","瑞族V-ZUG -北京V-ZUG瑞族展厅(英皇集团中心店)-销售-全职",学历,"高职"
529042,"瑞族V-ZUG ","瑞族V-ZUG -北京V-ZUG瑞族展厅(英皇集团中心店)-销售-全职",是否学生,"社会人士"
528720,"瑞族V-ZUG ","瑞族V-ZUG -愚园路店-家电导购-全职",是否学生,"社会人士"
528995,"果蔬好","果蔬好-富力城店-快餐销售员-小时工",是否学生,"社会人士"
528833,"果蔬好","果蔬好-秀水街店-线上拣货员-小时工",是否学生,"社会人士"
528821,"果蔬好","果蔬好-东湖店-收银员-小时工",是否学生,"社会人士"
528779,"果蔬好","果蔬好-北七家店-烘焙员-小时工",是否学生,"社会人士"
528683,"果蔬好","果蔬好-天津乐提港店-收银员周末-小时工",是否学生,"社会人士"
528682,"果蔬好","果蔬好-天津乐提港店-收银员-小时工",是否学生,"社会人士"
528619,"果蔬好","果蔬好-东湖店-肉类操作员-小时工",是否学生,"社会人士"
528563,"果蔬好","果蔬好-枫蓝国际购物中心店-分拣员-小时工",是否学生,"社会人士"
528126,"果蔬好","果蔬好-天津乐提港店-综合理货员-小时工",是否学生,"社会人士"
529054,"哈根达斯","哈根达斯-上海大华店-只要第二职业（需提供第一职业的劳动合同和社保证明）-小时工",学历,"高中"
529054,"哈根达斯","哈根达斯-上海大华店-只要第二职业（需提供第一职业的劳动合同和社保证明）-小时工",是否学生,"面试去应聘门店面试即可（学生请携带学生证）"
528699,"哈根达斯","哈根达斯-上海滨江店-只要第二职业（需提供第一职业的劳动合同和社保证明）（学生停止招募！！！）-小时工",学历,"高中"
528699,"哈根达斯","哈根达斯-上海滨江店-只要第二职业（需提供第一职业的劳动合同和社保证明）（学生停止招募！！！）-小时工",是否学生,"面试去应聘门店面试即可（学生请携带学生证）"
528684,"哈根达斯","哈根达斯-青岛崂山万象汇-只要第二职业（需提供第一职业的劳动合同和社保证明）不要学生！！！-小时工",学历,"高中"
528684,"哈根达斯","哈根达斯-青岛崂山万象汇-只要第二职业（需提供第一职业的劳动合同和社保证明）不要学生！！！-小时工",健康证情况,"食品健康证"
528684,"哈根达斯","哈根达斯-青岛崂山万象汇-只要第二职业（需提供第一职业的劳动合同和社保证明）不要学生！！！-小时工",是否学生,"面试去应聘门店面试即可（学生请携带学生证）"
528426,"哈根达斯","哈根达斯-烟台振华店-店员-只要第二职业（需提供第一职业的劳动合同和社保证明）-小时工",学历,"高中"
528426,"哈根达斯","哈根达斯-烟台振华店-店员-只要第二职业（需提供第一职业的劳动合同和社保证明）-小时工",健康证情况,"食品健康证"
514952,"哈根达斯","哈根达斯-北京亦庄龙湖店-店员-只要第二职业（需提供第一职业的劳动合同和社保证明）-小时工",学历,"高中"
529066,"奥乐齐","奥乐齐-芜湖八佰伴-通岗店员-全职",学历,"高中"
529066,"奥乐齐","奥乐齐-芜湖八佰伴-通岗店员-全职",健康证情况,"食品健康证"
529066,"奥乐齐","奥乐齐-芜湖八佰伴-通岗店员-全职",是否学生,"社会人士"
